mode,clients,throughput,avg_latency_ms,success,failure,total_requests,cpu_util_percent
0,2,5736.83,0.371087,172105,0,172105,15.68
0,4,11209.8,0.378547,336293,0,336293,27.36
0,6,14539.3,0.438061,436179,0,436179,36.61
0,8,15281.4,0.558785,458443,0,458443,37.25
0,10,15403.1,0.691913,462094,0,462094,37.73
0,12,15030.9,0.852508,450928,0,450928,37.98
0,14,15393.3,0.973556,461798,0,461798,38.23
0,16,15448.7,1.12165,463461,0,463461,38.43
1,2,1437.5,1.54526,43125,0,43125,13.61
1,4,2672.05,1.67344,80161.5,0,80161.5,19.98
1,6,3444.65,1.73985,103339.5,0,103339.5,23.73
1,8,1981.9,4.53866,59457,0,59457,17.85
1,10,1923.15,5.19818,57694.5,0,57694.5,18.06
1,12,1911.1,6.27732,57333,0,57333,17.98
1,14,1906.9,8.21531,57207,0,57207,18.52
1,16,1929.9,8.29011,57897,0,57897,18.05
2,2,2779.8,0.802603,83394,0,83394,11.73
2,4,4962.3,0.89958,148869,0,148869,20.05
2,6,6204.1,1.07916,186123,0,186123,26.85
2,8,8051.1,0.991596,241533,0,241533,31.48
2,10,7347.7,1.35847,220431,0,220431,32.92
2,12,8734.05,1.54627,262021.5,0,262021.5,33.47
2,14,8627.25,1.80496,258817.5,0,258817.5,33.55
2,16,9468.35,1.93107,284050.5,0,284050.5,34.55
